id,text,sourceDoc,sourceSection,sourceRef,stakeholderType,abstractionLevel,ambiguityFlag,clarifiedText,comparisonNote,mismatchFlag,stricterSource,openQuestion,reviewStatus,owner,evidenceType,ownerConfidence,priority,actionNote
REQ-011,,,,,,,no,A controller SHALL be able to initiate a REC-alert.,Matches with the source passage in the spec.,no,equal,,ok,Vendor,Certification document,medium,medium,Vendor to provide a certification document verifying REC-alert functionality for controllers.
REQ-012,,,,,,,no,A driver SHALL be able to initiate a REC-alert.,Matches with the source passage in the spec.,no,equal,,ok,Train Operator,Test report,high,high,Train Operator to conduct tests and produce a report verifying REC-alert initiation by drivers.
REQ-013,,,,,,,no,A controller SHALL be able to initiate a REC-alert by selecting one addressed area.,Matches with the source passage in the spec.,no,equal,,ok,Vendor,Design document,medium,medium,Vendor to produce a design document detailing the selection process for addressed areas.
REQ-014,,,,,,,no,A controller SHALL be able to initiate a REC-alert by selecting several addressed areas.,Matches with the source passage in the spec.,no,equal,,ok,Vendor,Simulation result,medium,medium,Vendor to run simulations and report results verifying multiple area selection functionality.
REQ-015,,,,,,,no,"When a controller initiates a REC-alert by selecting several addressed areas, the resulting addressed area SHALL be the union of the selected addressed areas.",Matches with the source passage in the spec.,no,equal,,ok,Vendor,Design document,medium,medium,Vendor to update design document to include area union logic for REC-alerts.
REQ-016,,,,,,,no,A controller SHALL be able to initiate a REC-alert by selecting one initiating area.,Matches with the source passage in the spec.,no,equal,,ok,Vendor,Certification document,medium,medium,Vendor to provide certification for initialization of REC-alerts using initiating areas.
REQ-017,,,,,,,no,A controller SHALL be able to initiate a REC-alert by providing a specific train functional identity.,Matches with the source passage in the spec.,no,equal,,ok,Vendor,Test report,medium,medium,Vendor to conduct tests and report verifying REC-alert initiation using train identity.
REQ-033,,,,,,,no,The system SHALL allow changing additional information during an ongoing REC-alert that is permanently presented to the recipients.,Matches with source but lacks specific interoperability context.,no,equal,Are there interoperability concerns for changing information during alerts?,needs review,ERA,Standard reference,low,high,ERA to provide references to standards addressing interoperability for REC-alert updates.
REQ-034,,,,,,,no,The system SHALL allow adding additional information during an ongoing REC-alert if no additional information was inserted at setup.,Matches with source but lacks specific modularity context.,no,equal,Is there a modularity requirement for adding information during alerts?,needs review,ERA,Standard reference,low,medium,ERA to investigate modularity requirements in standards for REC-alert information updates.
REQ-035,,,,,,,no,The system SHALL allow a controller to change the addressed area(s) during an ongoing REC-alert.,Contradicts spec as it is optional in source.,yes,input,Should changing addressed areas be mandatory?,conflict,ERA,Standard reference,medium,high,ERA to resolve conflict by reviewing whether area changes during alerts should be mandatory in standards.
