id,text,sourcePassage,sourceDoc,sourceSection,sourceRef,stakeholderType,abstractionLevel,ambiguityFlag
REQ-001,The REC FRMCS application and the common functions SHALL be configurable to fulfil local operational rules.,The REC FRMCS application and the common functions are configurable in order to fulfil local operational rules.,FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,,Standards body,mid,no
REQ-002,The FRMCS system SHALL determine a corresponding predefined addressed area where eligible users shall be alerted based on the initiating area.,"Based on this initiating area, the FRMCS system will determine a corresponding predefined addressed area where the users are eligible to be alerted.",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,,Standards body,mid,no
REQ-003,The list of users addressed by the REC SHALL be determined and continuously adapted based on predefined addressing rules with a safety margin applied.,The list of users addressed by the REC is determined and continuously adapted based on the predefined addressing rules for which a safety margin is applied.,FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,,Standards body,mid,no
REQ-004,The controller SHALL be able to adjust the addressing rules when knowledge of the actual emergency situation evolves.,The addressing rules can be adjusted (fine-tuned) further on by the controller when knowledge of the actual emergency situation evolves.,FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,,Standards body,low,no
REQ-005,"The infrastructure manager SHALL define the size and shape of the initiating and addressed areas based on criteria such as line speed, track characteristics, user reaction time, and location information accuracy.","The size and shape of the initiating and addressed areas are defined by the infrastructure manager, based on various criteria like line speed, track characteristics, reaction time of the user as well as type of location information available for the user (position, direction, train route setting…) and their corresponding level of accuracy.",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,,Standards body,high,no
REQ-006,"The location information available for initiating users such as train drivers, trackside workers, or shunters SHALL be used to determine the corresponding initiating area.","For some users (e.g. train driver, trackside worker or shunter), the location information available for the initiating user’s is used to determine the corresponding initiating area.",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,,Standards body,mid,no
REQ-007,"For users such as controllers or sensor-based systems, the initiating area or addressed area SHALL be provided by the initiating user.","For some users (e.g. controller, sensor-based system), the initiating area or addressed area is provided by the initiating’s user.",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,,Standards body,mid,no
REQ-008,Being involved in a REC-alert SHALL NOT prevent a user from initiating a new REC-alert as long as allowed by the arbitration common function.,Being involved in a REC-alert does not prevent a user from initiating a new REC-alert as long as allowed by the arbitration common function.,FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,,Standards body,mid,no
REQ-009,Being involved in a REC-alert SHALL NOT prevent a user from initiating another communication as long as allowed by the arbitration common function.,"Being involved in a REC-alert does not prevent a user from initiating another communication, as long as allowed by the arbitration common function.",FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,,Standards body,mid,no
REQ-010,An external system SHALL be able to initiate a REC.,An external system is able to initiate a REC.,FRMCS Functional Requirements Specification (FU-7120),Section 10.11 - Railway Emergency Communication,,Standards body,high,no
