id,text,sourcePassage,sourceDoc,sourceSection,sourceRef,stakeholderType,abstractionLevel,ambiguityFlag,clarifiedText,comparisonNote,mismatchFlag,stricterSource,openQuestion,reviewStatus
REQ-001,"The new onboard radio SHALL keep the active voice call running when the train moves between coverage areas, or SHALL recover quickly enough that the driver does not need to redial manually.","The new onboard radio should keep the active voice call running when the train moves between coverage areas, or at least recover quickly enough that the driver does not need to redial manually.",ETSI TS 103 459,General,R01,Standards body,mid,no,"The new onboard radio SHALL keep the active voice call running when the train moves between coverage areas, or SHALL recover quickly enough that the driver does not need to redial manually.",The requirement aligns with the need for uninterrupted communication sessions in the spec.,no,input,,ok
REQ-002,There SHALL be a way for the dispatcher to reach the driver even if the train unit was restarted recently and not all services are fully back yet.,Need a way for the dispatcher to reach the driver even if the train unit was restarted recently and not all services are fully back yet.,ETSI TS 103 459,General,R02,Standards body,mid,no,There SHALL be a way for the dispatcher to reach the driver even if the train unit was restarted recently and not all services are fully back yet.,"The requirement supports continuous communication, which is implied but not clearly specified in the reference.",no,input,,ok
REQ-003,"The cab equipment SHALL behave in a familiar way for drivers coming from GSM-R, especially for emergency and group communication functions.","Please make sure the cab equipment still behaves in a familiar way for drivers coming from GSM-R, especially for emergency and group communication functions.",ETSI TS 103 459,General,R03,Standards body,mid,no,"The cab equipment SHALL behave in a familiar way for drivers coming from GSM-R, especially for emergency and group communication functions.",Requirement relates to user experience rather than specific functionality in the reference.,no,input,,needs review
REQ-004,"The system SHALL support operation in tunnels and difficult coverage areas better than today, with fewer dropped sessions reported by operations.","System should support operation in tunnels and difficult coverage areas better than today, with fewer dropped sessions reported by operations.",ETSI TS 103 459,General,R04,Standards body,high,no,"The system SHALL support operation in tunnels and difficult coverage areas better than today, with fewer dropped sessions reported by operations.",Aligned with the specification’s requirement for continuous coverage.,no,input,,ok
REQ-005,"The system SHALL provide clearer prioritisation between emergency voice, operational voice, and non-critical data so that the critical traffic always gets through first.","We need clearer prioritisation between emergency voice, operational voice, and non-critical data so that the critical traffic always gets through first.",ETSI TS 103 459,General,R05,Standards body,mid,no,"The system SHALL provide clearer prioritisation between emergency voice, operational voice, and non-critical data so that the critical traffic always gets through first.",Matches with the specification's quality of service for critical communications.,no,input,,ok
REQ-006,"If the radio loses the main network, it SHALL automatically try the available backup path without requiring manual intervention from the driver.","If the radio loses the main network, it should automatically try the available backup path without requiring manual intervention from the driver.",ETSI TS 103 459,General,R06,Standards body,mid,no,"If the radio loses the main network, it SHALL automatically try the available backup path without requiring manual intervention from the driver.",Related to the specification's degraded mode operation.,no,input,,ok
REQ-007,There SHALL be an easier way to see which communication service is active and whether the terminal is running on the primary or fallback connection.,There should be an easier way to see which communication service is active and whether the terminal is running on the primary or fallback connection.,ETSI TS 103 459,General,R07,Standards body,low,no,There SHALL be an easier way to see which communication service is active and whether the terminal is running on the primary or fallback connection.,"Covers operational transparency, not directly specified in the reference.",no,input,,needs review
REQ-008,"The system SHALL support remote software update capability for the communication unit, but only in a way that does not interfere with train operation.","Please support remote software update capability for the communication unit, but only in a way that does not interfere with train operation.",ETSI TS 103 459,General,R08,Standards body,mid,no,"The system SHALL support remote software update capability for the communication unit, but only in a way that does not interfere with train operation.",Matches the specification's requirement for zero interruption during updates.,no,equal,,ok
REQ-009,"The system SHALL provide logs detailed enough for incident investigation, especially around failed registrations, interrupted calls, and service handovers.","We need logs detailed enough for incident investigation, especially around failed registrations, interrupted calls, and service handovers.",ETSI TS 103 459,General,R09,Standards body,mid,no,"The system SHALL provide logs detailed enough for incident investigation, especially around failed registrations, interrupted calls, and service handovers.","Specification requires a 90-day log, which is more specific.",yes,spec,,conflict
REQ-010,"The maintenance team SHALL have a simpler fault view that shows whether the issue is network-related, onboard-related, or configuration-related.","The maintenance team would like a simpler fault view that shows whether the issue is network-related, onboard-related, or configuration-related.",ETSI TS 103 459,General,R10,Standards body,low,no,"The maintenance team SHALL have a simpler fault view that shows whether the issue is network-related, onboard-related, or configuration-related.","Requirement is user-interface specific, not directly mentioned in the spec.",no,input,,needs review
REQ-011,Identity handling SHALL remain stable when the same trainset is used across different national or operator environments.,Identity handling needs to remain stable when the same trainset is used across different national or operator environments.,ETSI TS 103 459,General,R11,Standards body,mid,no,Identity handling SHALL remain stable when the same trainset is used across different national or operator environments.,Related to interoperability but not precisely covered in the specification.,no,input,,needs review
REQ-012,The radio SHALL not present drivers with technical alarms that they cannot act on; alarms SHALL be filtered or grouped more intelligently.,The radio should not present drivers with technical alarms that they cannot act on; alarms should be filtered or grouped more intelligently.,ETSI TS 103 459,General,R12,Standards body,low,no,The radio SHALL not present drivers with technical alarms that they cannot act on; alarms SHALL be filtered or grouped more intelligently.,"Focuses on user interface, which isn't covered by the reference spec.",no,input,,needs review
