id,text,sourceDoc,sourceSection,sourceRef,stakeholderType,abstractionLevel,ambiguityFlag,clarifiedText,comparisonNote,mismatchFlag,stricterSource,openQuestion,reviewStatus,owner,evidenceType,ownerConfidence,priority,actionNote
REQ-001,"The new onboard radio SHALL keep the active voice call running when the train moves between coverage areas, or SHALL recover quickly enough that the driver does not need to redial manually.",ETSI TS 103 459,General,R01,Standards body,mid,no,"The new onboard radio SHALL keep the active voice call running when the train moves between coverage areas, or SHALL recover quickly enough that the driver does not need to redial manually.",The requirement aligns with the need for uninterrupted communication sessions in the spec.,no,input,,ok,Train Operator,Test report,high,high,Conduct interoperability testing in varying coverage areas.
REQ-002,There SHALL be a way for the dispatcher to reach the driver even if the train unit was restarted recently and not all services are fully back yet.,ETSI TS 103 459,General,R02,Standards body,mid,no,There SHALL be a way for the dispatcher to reach the driver even if the train unit was restarted recently and not all services are fully back yet.,"The requirement supports continuous communication, which is implied but not clearly specified in the reference.",no,input,,ok,Infrastructure Manager,Simulation result,high,high,Perform simulations to validate communication during system restarts.
REQ-003,"The cab equipment SHALL behave in a familiar way for drivers coming from GSM-R, especially for emergency and group communication functions.",ETSI TS 103 459,General,R03,Standards body,mid,no,"The cab equipment SHALL behave in a familiar way for drivers coming from GSM-R, especially for emergency and group communication functions.",Requirement relates to user experience rather than specific functionality in the reference.,no,input,,needs review,Train Operator,Design document,medium,medium,Review user interface designs with drivers for familiarity.
REQ-004,"The system SHALL support operation in tunnels and difficult coverage areas better than today, with fewer dropped sessions reported by operations.",ETSI TS 103 459,General,R04,Standards body,high,no,"The system SHALL support operation in tunnels and difficult coverage areas better than today, with fewer dropped sessions reported by operations.",Aligned with the specification’s requirement for continuous coverage.,no,input,,ok,Infrastructure Manager,Inspection record,high,high,Inspect and enhance coverage solutions in challenging environments.
REQ-005,"The system SHALL provide clearer prioritisation between emergency voice, operational voice, and non-critical data so that the critical traffic always gets through first.",ETSI TS 103 459,General,R05,Standards body,mid,no,"The system SHALL provide clearer prioritisation between emergency voice, operational voice, and non-critical data so that the critical traffic always gets through first.",Matches with the specification's quality of service for critical communications.,no,input,,ok,Vendor,Certification document,high,high,Obtain certification confirming prioritisation compliance.
REQ-006,"If the radio loses the main network, it SHALL automatically try the available backup path without requiring manual intervention from the driver.",ETSI TS 103 459,General,R06,Standards body,mid,no,"If the radio loses the main network, it SHALL automatically try the available backup path without requiring manual intervention from the driver.",Related to the specification's degraded mode operation.,no,input,,ok,Vendor,Test report,high,medium,Develop and run tests on the automatic backup switch-over.
REQ-007,There SHALL be an easier way to see which communication service is active and whether the terminal is running on the primary or fallback connection.,ETSI TS 103 459,General,R07,Standards body,low,no,There SHALL be an easier way to see which communication service is active and whether the terminal is running on the primary or fallback connection.,"Covers operational transparency, not directly specified in the reference.",no,input,,needs review,Train Operator,Design document,medium,medium,Design a user interface for communication status visibility.
REQ-008,"The system SHALL support remote software update capability for the communication unit, but only in a way that does not interfere with train operation.",ETSI TS 103 459,General,R08,Standards body,mid,no,"The system SHALL support remote software update capability for the communication unit, but only in a way that does not interfere with train operation.",Matches the specification's requirement for zero interruption during updates.,no,equal,,ok,Vendor,Certification document,high,medium,Certify the remote update mechanism for non-disruption.
REQ-009,"The system SHALL provide logs detailed enough for incident investigation, especially around failed registrations, interrupted calls, and service handovers.",ETSI TS 103 459,General,R09,Standards body,mid,no,"The system SHALL provide logs detailed enough for incident investigation, especially around failed registrations, interrupted calls, and service handovers.","Specification requires a 90-day log, which is more specific.",yes,spec,,conflict,Vendor,Standard reference,medium,low,Resolve conflict between input and specification regarding log retention.
REQ-010,"The maintenance team SHALL have a simpler fault view that shows whether the issue is network-related, onboard-related, or configuration-related.",ETSI TS 103 459,General,R10,Standards body,low,no,"The maintenance team SHALL have a simpler fault view that shows whether the issue is network-related, onboard-related, or configuration-related.","Requirement is user-interface specific, not directly mentioned in the spec.",no,input,,needs review,Infrastructure Manager,Design document,medium,medium,Develop a simplified fault diagnostic interface.
REQ-011,Identity handling SHALL remain stable when the same trainset is used across different national or operator environments.,ETSI TS 103 459,General,R11,Standards body,mid,no,Identity handling SHALL remain stable when the same trainset is used across different national or operator environments.,Related to interoperability but not precisely covered in the specification.,no,input,,needs review,ERA,Standard reference,medium,medium,Consult regulatory frameworks for cross-border identity handling.
REQ-012,The radio SHALL not present drivers with technical alarms that they cannot act on; alarms SHALL be filtered or grouped more intelligently.,ETSI TS 103 459,General,R12,Standards body,low,no,The radio SHALL not present drivers with technical alarms that they cannot act on; alarms SHALL be filtered or grouped more intelligently.,"Focuses on user interface, which isn't covered by the reference spec.",no,input,,needs review,Train Operator,Design document,medium,low,Redesign alarm presentation to reduce driver notifications.
